Абсолютный путь к файлу,Относительный путь к файлу,Минимальная амплитуда
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_23.mp3,animal_sounds\animal_sound_23.mp3,0.004229
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_20.mp3,animal_sounds\animal_sound_20.mp3,0.004571
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_22.mp3,animal_sounds\animal_sound_22.mp3,0.006477
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_17.mp3,animal_sounds\animal_sound_17.mp3,0.006811
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_29.mp3,animal_sounds\animal_sound_29.mp3,0.011114
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_1.mp3,animal_sounds\animal_sound_1.mp3,0.012368
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_42.mp3,animal_sounds\animal_sound_42.mp3,0.015222
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_36.mp3,animal_sounds\animal_sound_36.mp3,0.015646
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_47.mp3,animal_sounds\animal_sound_47.mp3,0.016974
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_21.mp3,animal_sounds\animal_sound_21.mp3,0.018001
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_28.mp3,animal_sounds\animal_sound_28.mp3,0.020743
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_48.mp3,animal_sounds\animal_sound_48.mp3,0.024077
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_15.mp3,animal_sounds\animal_sound_15.mp3,0.025085
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_5.mp3,animal_sounds\animal_sound_5.mp3,0.025665
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_11.mp3,animal_sounds\animal_sound_11.mp3,0.02677
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_10.mp3,animal_sounds\animal_sound_10.mp3,0.034691
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_32.mp3,animal_sounds\animal_sound_32.mp3,0.040361
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_12.mp3,animal_sounds\animal_sound_12.mp3,0.051304
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_38.mp3,animal_sounds\animal_sound_38.mp3,0.053025
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_9.mp3,animal_sounds\animal_sound_9.mp3,0.055324
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_24.mp3,animal_sounds\animal_sound_24.mp3,0.058447
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_16.mp3,animal_sounds\animal_sound_16.mp3,0.060222
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_25.mp3,animal_sounds\animal_sound_25.mp3,0.071388
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_41.mp3,animal_sounds\animal_sound_41.mp3,0.073793
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_35.mp3,animal_sounds\animal_sound_35.mp3,0.078504
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_49.mp3,animal_sounds\animal_sound_49.mp3,0.086665
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_46.mp3,animal_sounds\animal_sound_46.mp3,0.087227
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_7.mp3,animal_sounds\animal_sound_7.mp3,0.093951
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_3.mp3,animal_sounds\animal_sound_3.mp3,0.110682
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_37.mp3,animal_sounds\animal_sound_37.mp3,0.112596
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_40.mp3,animal_sounds\animal_sound_40.mp3,0.11831
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_13.mp3,animal_sounds\animal_sound_13.mp3,0.138222
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_39.mp3,animal_sounds\animal_sound_39.mp3,0.146423
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_50.mp3,animal_sounds\animal_sound_50.mp3,0.15021
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_45.mp3,animal_sounds\animal_sound_45.mp3,0.155628
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_14.mp3,animal_sounds\animal_sound_14.mp3,0.167778
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_2.mp3,animal_sounds\animal_sound_2.mp3,0.171791
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_33.mp3,animal_sounds\animal_sound_33.mp3,0.178706
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_30.mp3,animal_sounds\animal_sound_30.mp3,0.184369
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_44.mp3,animal_sounds\animal_sound_44.mp3,0.195537
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_26.mp3,animal_sounds\animal_sound_26.mp3,0.199587
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_27.mp3,animal_sounds\animal_sound_27.mp3,0.201361
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_4.mp3,animal_sounds\animal_sound_4.mp3,0.204954
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_31.mp3,animal_sounds\animal_sound_31.mp3,0.217213
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_19.mp3,animal_sounds\animal_sound_19.mp3,0.22758
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_6.mp3,animal_sounds\animal_sound_6.mp3,0.24151
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_34.mp3,animal_sounds\animal_sound_34.mp3,0.243337
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_18.mp3,animal_sounds\animal_sound_18.mp3,0.245159
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_8.mp3,animal_sounds\animal_sound_8.mp3,0.245998
C:\Users\lozga\Desktop\application-programming-labs-2025\lab2-var19\animal_sounds\animal_sound_43.mp3,animal_sounds\animal_sound_43.mp3,0.25022
